Name,Location,Size,Sector,Breakdown,Established,,
1Qbit ,"Vancouver, British Colombia",200+,Software,Details,2012,2012,1
AbaQus,"Vancouver, British Colombia",Under 50,Software,Details,2021,2021,3
Accenture Quantum,Multinational,200+,Multiple,Details,2017,2017,6
Agnostiq,"Toronto, Canada",Start-Up,Software,Details,2018,2018,8
Airbus,"Virginia, United States",50-200,Multiple,Details,1970,1970,1
AlgorithmIQ,"Helsinki, Finland",Under 50,Software,Details,2021,,
Alibaba Group,,50-200,,,,2020,8
Alice & Bob,"Paris, France",Under 50,Hardware,Details,2020,2019,7
Aliro Quantum,"Massachusetes, United States",Under 50,Multiple,Details ,2019,2014,1
Alpine Quantum Technologies,"Innsbruk, Austria",Under 50,Computer,Details,2018,2022,3
Anyon Systems,"Dorval, Quebeck",Under 50,Computer,Details,2014,2016,6
Atlantic Quantum,"Massachusetes, United States",Under 50,Computer,Details,2022,1999,2
Atom Computing,"California, United States",50-200,Computer,Details,2018,1935,1
Atos Quantum,"California, United States",200+,Multiple,Details,2017,2013,3
AWS Bracket,,,,,,1997,1
Beit,"Krakow, Poland",Under 50,Software,Details,2016,2001,1
Boxcat,"Toronto, Canada",Start-Up,Software,Details,2017,2007,1
BosonQ Psi,"New York, United States",Under 50,Software,Details,2020,2015,3
C12 Quantum Electronics,"Paris, France",Under 50,Hardware,Details,2020,1899,1
ClassiQ,"Tel Aviv, Isreal",50-200,Software,Details,2020,1925,1
CogniFrame Inc,"Toronto, Ontario, Canada",Start-Up,Software,Details,2016,2023,1
D-Wave,"Burnaby, British Columbia, Canada",50-200,Full-Stack,Details,1999,,
Diraq,"Sydney, Australia",Under 50,Hardware,Details,2022,,
Eeroq,"Chicago, IL, USA",Under 50,Hardware,Details,2016,,
EleQtron,"Siegen, Germany",Under 50,Hardware,Details,2020,,
Entropica Labs,Singapore,Under 50,Software,Details,2018,,
Fujitsu,Japan,"124,000",Multiple,Details,1935,,
Google Quantum AI,"United States, Austrailia, Germany",200+,Full-Stack,Details,2013,,
Hitachi,,,,,,,
Horizon Quantum Computing,Singapore,Under 50,Software,Details,2018,,
HQS Quantum Simulations,"Baden-Württemberg, Germany",Under 50,Software,Details,2017,,
HRL Laboratories,"Malibu, California, USA",200+,,Details,1997,,
IBM Quantum,"New York, United States",200+,Full-Stack,Details,2016,,
ID Quantique,"Geneva, Switzerland",50-200,Cybersecurity,Details,2001,,
Infineon Technologies,"Neubiberg, München, Germany","58,600",Hardware,Details,1999,,
Infleqtion,"Texas, United States",200+,Software,Details,2007,,
Intel,,,,,,,
IonQ,"Maryland, USA",200+,Hardware,Details,2015,,
IQM,,,,,,,
JIJ,"Bunkyo City, Japan",Under 50,Software,Details,2018,,
KEEQuant,,,,,,,
Kipu Quantum,"Karlsruhe, Germnay",Under 50,Software,Details,2021,,
Kuano,"London, Britain",Under 50,Simulation,Details,2020,,
Lockheed Martin,,,,,,,
Microsoft,,,,,,,
Multiverse Computing,"Gipuzkoa, Spain",50-200,Software,Details,2019,,
Nanoacademic Technologies Inc.,,,,,,,
NEC Corporation,"Tokyo, Japan","118,000",Multiple,Details,1899,,
Next Generation Quantum,"New York, USA",Start-Up,Hardware,Details,2019,,
Nokia Bell Labs,"New Jersey, USA",200+,Hardware,Details,1925,,
Nord Quantique,,,,,,,
NTT Laboratories,"Palo Alto, CA, USA",200+,Multiple,Details,2023,,
Nu Quantum,"Cambridge, England",Under 50,Multiple,Details,2018,,
Orca Computing,"London, England",Under 50,Full-Stack,Details,2019,,
Origin Quantum,,,,,,,
Oxford ionics,"Munich, Bavaria, Germany",Under 50,Hardware,,,,
Oxford Quantum Circuits,"Reading, England",50-200,Hardware,Details,2017,,
ParityQC,,,,,,,
Pasqal,"Massy, France",200+,Full-Stack,Details,2019,,
Phasecraft,"Bristol, England",Under 50,Algorithm,Details,2019,,
Photonic INC.,"Coquitlam, Canada",50-200,Hardware,Details ,2016,,
PlanQC,"Munich, Bavaria, Germany",Under 50,Hardware,Details,2022,,
PolarisQB,"North Carolina, United States",Under 50,Software,Details,2020,,
ProtienQure,"Toronto, Canada",Under 50,Software,Details ,2017,,
PsiQuantum,"California, United States",200+,Hardware,Details,2015,,
Q-Ctrl,,,,,,,
Q. BPO Consulting,,,,,,,
Q.ANT,,,,,,,
QC Ware,,,,,,,
Qilimanjaro Quantum Tech,"Barcelona, Spain",Under 50,Software,Details,2019,,
QNu Labs,,,,,,,
QpiAI,,,,,,,
QRCrypto SA,,,,,,,
QRDLab,,,,,,,
Qrypt,,,,,,,
Qu & Co,,,,,,,
Quandela,,,,,,,
Quantagonia,,,,,,,
Quantastica,,,,,,,
Quantinuum,,,,,,,
Quantized Technologies Inc.,,,,,,,
Quantrol Ox,"Espoo, Finland",Under 50,Software,Details,2013,,
Quantum Brilliance,,,,,,,
Quantum Circuits INC.,,,,,,,
Quantum Computing INC.,,,,,,,
Quantum Generative Materials,,,,,,,
Quantum Machines,"Telaviv, Isreal",50-200,Full-Stack,Details,2018,,
Quantum Motion,,,,,,,
Quantware,"Delft, Netherlands",Under 50,Computer,Details,2020,,
Qubit Pharmaceutical,,,,,,,
Qubrid,,,,,,,
QuDoor,,,,,,,
QuEra Computing,,,,,,,
Qulabs.ai,,,,,,,
Qunatum Benchmark,,,,,,,
Qunatum Source,,,,,,,
Qunnect Inc,,,,,,,
Raytheon/BBN[,,,,,,,
Rigetti,"Berkeley, California",50-200,Full-Stack,Details ,2013,,
Riverlane,,,,,,,
SandBoxAQ,"Palo Alto, California",,,,,,
SaxonQ,,,,,,,
SeeQC,,,,,,,
Silicone Quantum Computing,,,,,,,
StrangeWorks,,,,,,,
Terra Quantum,,,,,,,
ThinkQuantum,,,,,,,
Toshiba,,,,,,,
TuringQ,,,,,,,
Turkcell,,,,,,,
Universal Quantum,,,,,,,
Xanadu,"Toronto, Canada",50-200,Software,Details,2016,,
Zapata AI,"Massachustes, United States",50-200,Software,Details,2015,,
Mila,,,,,,,
